ID,製品カテゴリ,品番,管理番号,シリーズカテゴリ,シリーズ,シェイプ,,サイズ,,,,商品分類（1）,商品分類（2）,金額,製品詳細ページURL,受賞アイコン,,機能アイコン,,,,,,,,,,,,カラー（単色）,,,,,,,,,,,,,カラー（バイカラー）,,,,,,,,カラー
,,,,,,,,テキスト,横幅（W）,奥行き（H）,深さ（D）,,,,,IF DESIGN AWARD,Reddot award,ACTIVE WAVE,COMFORT GLIDE,COMFORT WAVE (over head shower),GYROSTREAM,HEAT PROTECT,MINI UNIT,SAFETY THERMO,SOFT FLOW,WARM SPA (over head shower),WARM SPA (hand shower),COMFORT WAVE (hand shower),INTENSE WAVE,PN,BN,PFG,BFG,PRG,BRG,PBR,BBR,PC,PBL,BBL,MBL,W,ZA：PN-BN,ZA：PC-BFG,ZA：PC-BRG,ZA：PC-BN,GF：BN-PN,GF：BBL-PBL,GF：BFG-PFG,GF：BRG-PRG,DEFAULT
SYSTEM_ID,PRODUCT_TYPE,PRODUCT_ID,COMBINATION_ID,SERIES_CATEGORY,SERIES,SHAPE_TEXT,SHAPE,SIZE,SIZE_W,SIZE_H,SIZE_D,CATEGORY_1,CATEGORY_2,PRICE,PRODUCT_URL,AWARD_01,AWARD_02,TECH_01,TECH_02,TECH_03,TECH_04,TECH_05,TECH_06,TECH_07,TECH_08,TECH_09,TECH_10,TECH_11,TECH_12,COLOUR_PN,COLOUR_BN,COLOUR_PFG,COLOUR_BFG,COLOUR_PRG,COLOUR_BRG,COLOUR_PBR,COLOUR_BBR,COLOUR_PC,COLOUR_PBL,COLOUR_BBL,COLOUR_MBL,COLOUR_W,COLOUR_PN-BN,COLOUR_PC-BFG,COLOUR_PC-BRG,COLOUR_PC-BN,COLOUR_BN-PN,COLOUR_BBL-PBL,COLOUR_BFG-PFG,COLOUR_BRG-PRG,COLOUR_DEFAULT
338,over-head-shower,TBW08004,OZS3W,Z,,Square,S,,,,,wall,,,,if2022,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
339,over-head-shower,TBW07004,OZR3W,Z,,Round,R,,,,,wall,,,,if2022,,,,1,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,
340,over-head-shower,TBW08003,OGS1W,G,,Square,S,,,,,wall,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
341,over-head-shower,TBW08002,OGS1W,G,,Square,S,,,,,wall,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
342,over-head-shower,TBW08001,OGS1W,G,,Square,S,,,,,wall,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
343,over-head-shower,TBW08003C1,OGS1T,G,,Square,S,,,,,celling,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
344,over-head-shower,TBW08002C1,OGS1T,G,,Square,S,,,,,celling,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
345,over-head-shower,TBW08001C1,OGS1T,G,,Square,S,,,,,celling,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
346,over-head-shower,TBW07003,OGR1W,G,,Round,R,,,,,wall,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
347,over-head-shower,TBW07002,OGR1W,G,,Round,R,,,,,wall,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
348,over-head-shower,TBW07001,OGR1W,G,,Round,R,,,,,wall,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
349,over-head-shower,TBW07003C1,OGR1T,G,,Round,R,,,,,celling,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
350,over-head-shower,TBW07002C1,OGR1T,G,,Round,R,,,,,celling,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
351,over-head-shower,TBW07001C1,OGR1T,G,,Round,R,,,,,celling,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
